comic_uri,type,title,author,origin_country,publication_date,genre
http://www.wikidata.org/entity/Q12595029,manhwa series,Faraway Neighboring Countries,Rhie Won-bok,South Korea,,
http://www.wikidata.org/entity/Q12617511,manhwa series,About Death,,South Korea,,
http://www.wikidata.org/entity/Q12620245,manhwa series,Cheese in the Trap,,South Korea,,school anime and manga
http://www.wikidata.org/entity/Q12620580,manhwa series,Comic Maple Story Off-line RPG,,South Korea,,
http://www.wikidata.org/entity/Q12620854,manhwa series,Timing,Kang Full,South Korea,,
http://www.wikidata.org/entity/Q12621622,manhwa series,Fashion King,Kian84,South Korea,,
http://www.wikidata.org/entity/Q1298041,manhwa series,Seduction More Beautiful Than Love,,South Korea,,
http://www.wikidata.org/entity/Q130297433,manhwa series,A Wife's Sweet Revenge,,South Korea,,
http://www.wikidata.org/entity/Q130297469,manhwa series,Secret Alliance,,South Korea,,
http://www.wikidata.org/entity/Q13422772,manhwa series,Survival,,South Korea,,
http://www.wikidata.org/entity/Q134376076,manhwa series,I Love Amy,,South Korea,2022-01-01T00:00:00Z,"romantic comedy, yuri"
http://www.wikidata.org/entity/Q134982735,manhwa series,Teenage Mercenary,,South Korea,2025-11-07T00:00:00Z,
http://www.wikidata.org/entity/Q1402323,manhwa series,Bride of the Water God,,South Korea,,
http://www.wikidata.org/entity/Q15898837,manhua,Year Hare Affair,,People's Republic of China,2011-06-13T00:00:00Z,
http://www.wikidata.org/entity/Q16149991,manhwa series,13th Boy,,South Korea,,
http://www.wikidata.org/entity/Q16162564,manhwa series,Magical Heavenly Characters,,South Korea,2003-11-11T00:00:00Z,
http://www.wikidata.org/entity/Q16181481,manhwa series,Orange Marmalade,,South Korea,,"drama fiction, romantic fiction, vampire fiction"
http://www.wikidata.org/entity/Q16181509,manhwa series,Trump,,South Korea,,
http://www.wikidata.org/entity/Q16191752,manhwa series,Flow,,South Korea,,
http://www.wikidata.org/entity/Q16246433,manhwa series,Western Shotgun,,South Korea,2000-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q16256681,manhwa series,Soul Cartel,,South Korea,,
http://www.wikidata.org/entity/Q16261066,manhwa series,Go Woo-young's Three Kingdoms,,South Korea,,
http://www.wikidata.org/entity/Q16880388,manhwa series,Salty Studio,,South Korea,,"comedy anime and manga, romance anime and manga"
